sep=,
"Time","Centralskolan 3-phase_:_active_power [kW]"
2021-10-05 00:00:00,1939
2021-10-05 00:05:00,2061
2021-10-05 00:10:00,1698
2021-10-05 00:15:00,1258
2021-10-05 00:20:00,2026
2021-10-05 00:25:00,2075
2021-10-05 00:30:00,1648
2021-10-05 00:35:00,841
2021-10-05 00:40:00,2103
2021-10-05 00:45:00,1957
2021-10-05 00:50:00,1477
2021-10-05 00:55:00,1578
2021-10-05 01:00:00,1869
2021-10-05 01:05:00,1923
2021-10-05 01:10:00,1196
2021-10-05 01:15:00,1552
2021-10-05 01:20:00,2354
2021-10-05 01:25:00,1796
2021-10-05 01:30:00,1324
2021-10-05 01:35:00,1576
2021-10-05 01:40:00,2276
2021-10-05 01:45:00,1916
2021-10-05 01:50:00,1578
2021-10-05 01:55:00,2456
2021-10-05 02:00:00,1587
2021-10-05 02:05:00,3207
2021-10-05 02:10:00,3112
2021-10-05 02:15:00,2846
2021-10-05 02:20:00,2851
2021-10-05 02:25:00,2166
2021-10-05 02:30:00,2106
2021-10-05 02:35:00,2137
2021-10-05 02:40:00,2302
2021-10-05 02:45:00,1958
2021-10-05 02:50:00,1710
2021-10-05 02:55:00,1957
2021-10-05 03:00:00,1889
2021-10-05 03:05:00,1601
2021-10-05 03:10:00,1500
2021-10-05 03:15:00,2073
2021-10-05 03:20:00,1711
2021-10-05 03:25:00,1745
2021-10-05 03:30:00,1463
2021-10-05 03:35:00,1834
2021-10-05 03:40:00,1641
2021-10-05 03:45:00,1471
2021-10-05 03:50:00,2051
2021-10-05 03:55:00,1540
2021-10-05 04:00:00,1495
2021-10-05 04:05:00,1690
2021-10-05 04:10:00,1828
2021-10-05 04:15:00,1457
2021-10-05 04:20:00,1378
2021-10-05 04:25:00,2086
2021-10-05 04:30:00,2073
2021-10-05 04:35:00,1092
2021-10-05 04:40:00,737
2021-10-05 04:45:00,1974
2021-10-05 04:50:00,1014
2021-10-05 04:55:00,1419
2021-10-05 05:00:00,2291
2021-10-05 05:05:00,2067
2021-10-05 05:10:00,1769
2021-10-05 05:15:00,1698
2021-10-05 05:20:00,1940
2021-10-05 05:25:00,1734
2021-10-05 05:30:00,1544
2021-10-05 05:35:00,1216
2021-10-05 05:40:00,2056
2021-10-05 05:45:00,1763
2021-10-05 05:50:00,1564
2021-10-05 05:55:00,2006
2021-10-05 06:00:00,1692
2021-10-05 06:05:00,1234
2021-10-05 06:10:00,2199
2021-10-05 06:15:00,2227
2021-10-05 06:20:00,1907
2021-10-05 06:25:00,6418
2021-10-05 06:30:00,6020
2021-10-05 06:35:00,9762
2021-10-05 06:40:00,12208
2021-10-05 06:45:00,21348
2021-10-05 06:50:00,12493
2021-10-05 06:55:00,7576
2021-10-05 07:00:00,17148
2021-10-05 07:05:00,13222
2021-10-05 07:10:00,13440
2021-10-05 07:15:00,14121
2021-10-05 07:20:00,16466
2021-10-05 07:25:00,9274
2021-10-05 07:30:00,13654
2021-10-05 07:35:00,9266
2021-10-05 07:40:00,15901
2021-10-05 07:45:00,16675
2021-10-05 07:50:00,17266
2021-10-05 07:55:00,16658
2021-10-05 08:00:00,22216
2021-10-05 08:05:00,15695
2021-10-05 08:10:00,27600
2021-10-05 08:15:00,14547
2021-10-05 08:20:00,14368
2021-10-05 08:25:00,10954
2021-10-05 08:30:00,9020
2021-10-05 08:35:00,23563
2021-10-05 08:40:00,10292
2021-10-05 08:45:00,4819
2021-10-05 08:50:00,3056
2021-10-05 08:55:00,2626
2021-10-05 09:00:00,5916
2021-10-05 09:05:00,5730
2021-10-05 09:10:00,10969
2021-10-05 09:15:00,10509
2021-10-05 09:20:00,19865
2021-10-05 09:25:00,14126
2021-10-05 09:30:00,10339
2021-10-05 09:35:00,4570
2021-10-05 09:40:00,9162
2021-10-05 09:45:00,15897
2021-10-05 09:50:00,11579
2021-10-05 09:55:00,7833
2021-10-05 10:00:00,3814
2021-10-05 10:05:00,13370
2021-10-05 10:10:00,10091
2021-10-05 10:15:00,9163
2021-10-05 10:20:00,12880
2021-10-05 10:25:00,17130
2021-10-05 10:30:00,14862
2021-10-05 10:35:00,17239
2021-10-05 10:40:00,14557
2021-10-05 10:45:00,12290
2021-10-05 10:50:00,17663
2021-10-05 10:55:00,17360
2021-10-05 11:00:00,10860
2021-10-05 11:05:00,24774
2021-10-05 11:10:00,20624
2021-10-05 11:15:00,14374
2021-10-05 11:20:00,11118
2021-10-05 11:25:00,13452
2021-10-05 11:30:00,13024
2021-10-05 11:35:00,15330
2021-10-05 11:40:00,13154
2021-10-05 11:45:00,12682
2021-10-05 11:50:00,11002
2021-10-05 11:55:00,9996
2021-10-05 12:00:00,11763
2021-10-05 12:05:00,14006
2021-10-05 12:10:00,12562
2021-10-05 12:15:00,7414
2021-10-05 12:20:00,7709
2021-10-05 12:25:00,4335
2021-10-05 12:30:00,5319
2021-10-05 12:35:00,4864
2021-10-05 12:40:00,5602
2021-10-05 12:45:00,1940
2021-10-05 12:50:00,4045
2021-10-05 12:55:00,2452
2021-10-05 13:00:00,2912
2021-10-05 13:05:00,5298
2021-10-05 13:10:00,7495
2021-10-05 13:15:00,13642
2021-10-05 13:20:00,14151
2021-10-05 13:25:00,22960
2021-10-05 13:30:00,12938
2021-10-05 13:35:00,10277
2021-10-05 13:40:00,8107
2021-10-05 13:45:00,12149
2021-10-05 13:50:00,10955
2021-10-05 13:55:00,9353
2021-10-05 14:00:00,8398
2021-10-05 14:05:00,12229
2021-10-05 14:10:00,8592
2021-10-05 14:15:00,12840
2021-10-05 14:20:00,8802
2021-10-05 14:25:00,6366
2021-10-05 14:30:00,2980
2021-10-05 14:35:00,3694
2021-10-05 14:40:00,3295
2021-10-05 14:45:00,3834
2021-10-05 14:50:00,3609
2021-10-05 14:55:00,2890
2021-10-05 15:00:00,4540
2021-10-05 15:05:00,3013
2021-10-05 15:10:00,3818
2021-10-05 15:15:00,1840
2021-10-05 15:20:00,1029
2021-10-05 15:25:00,1442
2021-10-05 15:30:00,2466
2021-10-05 15:35:00,2808
2021-10-05 15:40:00,1281
2021-10-05 15:45:00,2539
2021-10-05 15:50:00,2528
2021-10-05 15:55:00,2527
2021-10-05 16:00:00,1908
2021-10-05 16:05:00,3169
2021-10-05 16:10:00,2148
2021-10-05 16:15:00,851
2021-10-05 16:20:00,2278
2021-10-05 16:25:00,2100
2021-10-05 16:30:00,2626
2021-10-05 16:35:00,2976
2021-10-05 16:40:00,1902
2021-10-05 16:45:00,2257
2021-10-05 16:50:00,1638
2021-10-05 16:55:00,1302
2021-10-05 17:00:00,1896
2021-10-05 17:05:00,1987
2021-10-05 17:10:00,1620
2021-10-05 17:15:00,1123
2021-10-05 17:20:00,2064
2021-10-05 17:25:00,1919
2021-10-05 17:30:00,1606
2021-10-05 17:35:00,1563
2021-10-05 17:40:00,1337
2021-10-05 17:45:00,2137
2021-10-05 17:50:00,1301
2021-10-05 17:55:00,1499
2021-10-05 18:00:00,1331
2021-10-05 18:05:00,1725
2021-10-05 18:10:00,
2021-10-05 18:15:00,
2021-10-05 18:20:00,
2021-10-05 18:25:00,
2021-10-05 18:30:00,
2021-10-05 18:35:00,
2021-10-05 18:40:00,
2021-10-05 18:45:00,2366
2021-10-05 18:50:00,1780
2021-10-05 18:55:00,1348
2021-10-05 19:00:00,1458
2021-10-05 19:05:00,2338
2021-10-05 19:10:00,1395
2021-10-05 19:15:00,1163
2021-10-05 19:20:00,1428
2021-10-05 19:25:00,1595
2021-10-05 19:30:00,1613
2021-10-05 19:35:00,1491
2021-10-05 19:40:00,1662
2021-10-05 19:45:00,2026
2021-10-05 19:50:00,1644
2021-10-05 19:55:00,1366
2021-10-05 20:00:00,1824
2021-10-05 20:05:00,2045
2021-10-05 20:10:00,1348
2021-10-05 20:15:00,1256
2021-10-05 20:20:00,1390
2021-10-05 20:25:00,2235
2021-10-05 20:30:00,1668
2021-10-05 20:35:00,1387
2021-10-05 20:40:00,1710
2021-10-05 20:45:00,2324
2021-10-05 20:50:00,1731
2021-10-05 20:55:00,1670
2021-10-05 21:00:00,2044
2021-10-05 21:05:00,1980
2021-10-05 21:10:00,1699
2021-10-05 21:15:00,1783
2021-10-05 21:20:00,1988
2021-10-05 21:25:00,1804
2021-10-05 21:30:00,1720
2021-10-05 21:35:00,1604
2021-10-05 21:40:00,1770
2021-10-05 21:45:00,1884
2021-10-05 21:50:00,1493
2021-10-05 21:55:00,1257
2021-10-05 22:00:00,2263
2021-10-05 22:05:00,1918
2021-10-05 22:10:00,1230
2021-10-05 22:15:00,925
2021-10-05 22:20:00,1868
2021-10-05 22:25:00,1965
2021-10-05 22:30:00,1355
2021-10-05 22:35:00,1172
2021-10-05 22:40:00,1862
2021-10-05 22:45:00,2152
2021-10-05 22:50:00,1578
2021-10-05 22:55:00,1511
2021-10-05 23:00:00,1904
2021-10-05 23:05:00,1780
2021-10-05 23:10:00,1555
2021-10-05 23:15:00,1424
2021-10-05 23:20:00,1667
2021-10-05 23:25:00,1890
2021-10-05 23:30:00,1246
2021-10-05 23:35:00,1022
2021-10-05 23:40:00,1961
2021-10-05 23:45:00,1863
2021-10-05 23:50:00,1550
2021-10-05 23:55:00,1684
2021-10-06 00:00:00,1661
2021-10-06 00:05:00,1897
2021-10-06 00:10:00,1342
2021-10-06 00:15:00,1623
2021-10-06 00:20:00,2121
2021-10-06 00:25:00,1919
2021-10-06 00:30:00,1130
2021-10-06 00:35:00,1258
2021-10-06 00:40:00,1870
2021-10-06 00:45:00,1402
2021-10-06 00:50:00,1450
2021-10-06 00:55:00,1640
2021-10-06 01:00:00,1653
2021-10-06 01:05:00,2105
2021-10-06 01:10:00,1296
2021-10-06 01:15:00,1242
2021-10-06 01:20:00,1704
2021-10-06 01:25:00,1728
2021-10-06 01:30:00,1294
2021-10-06 01:35:00,1238
2021-10-06 01:40:00,2059
2021-10-06 01:45:00,1826
2021-10-06 01:50:00,1644
2021-10-06 01:55:00,1374
2021-10-06 02:00:00,1766
2021-10-06 02:05:00,2160
2021-10-06 02:10:00,1087
2021-10-06 02:15:00,1441
2021-10-06 02:20:00,1372
2021-10-06 02:25:00,1970
2021-10-06 02:30:00,898
2021-10-06 02:35:00,1288
2021-10-06 02:40:00,1625
2021-10-06 02:45:00,2329
2021-10-06 02:50:00,1215
2021-10-06 02:55:00,1158
2021-10-06 03:00:00,2002
2021-10-06 03:05:00,3171
2021-10-06 03:10:00,3297
2021-10-06 03:15:00,2138
2021-10-06 03:20:00,1647
2021-10-06 03:25:00,2027
2021-10-06 03:30:00,2489
2021-10-06 03:35:00,1806
2021-10-06 03:40:00,1641
2021-10-06 03:45:00,1557
2021-10-06 03:50:00,1918
2021-10-06 03:55:00,1659
2021-10-06 04:00:00,1519
2021-10-06 04:05:00,1664
2021-10-06 04:10:00,1913
2021-10-06 04:15:00,1677
2021-10-06 04:20:00,1607
2021-10-06 04:25:00,1890
2021-10-06 04:30:00,1882
2021-10-06 04:35:00,1425
2021-10-06 04:40:00,1506
2021-10-06 04:45:00,1813
2021-10-06 04:50:00,1904
2021-10-06 04:55:00,1414
2021-10-06 05:00:00,1592
2021-10-06 05:05:00,2021
2021-10-06 05:10:00,1336
2021-10-06 05:15:00,1380
2021-10-06 05:20:00,1524
2021-10-06 05:25:00,2083
2021-10-06 05:30:00,1428
2021-10-06 05:35:00,1950
2021-10-06 05:40:00,1570
2021-10-06 05:45:00,1643
2021-10-06 05:50:00,1689
2021-10-06 05:55:00,1553
2021-10-06 06:00:00,1628
2021-10-06 06:05:00,2181
2021-10-06 06:10:00,1472
2021-10-06 06:15:00,1524
2021-10-06 06:20:00,1524
2021-10-06 06:25:00,1919
2021-10-06 06:30:00,5172
2021-10-06 06:35:00,5497
2021-10-06 06:40:00,11913
2021-10-06 06:45:00,27871
2021-10-06 06:50:00,15385
2021-10-06 06:55:00,12188
2021-10-06 07:00:00,14546
2021-10-06 07:05:00,24660
2021-10-06 07:10:00,23210
2021-10-06 07:15:00,19754
2021-10-06 07:20:00,16793
2021-10-06 07:25:00,20714
2021-10-06 07:30:00,23668
2021-10-06 07:35:00,41782
2021-10-06 07:40:00,36984
2021-10-06 07:45:00,36160
2021-10-06 07:50:00,25203
2021-10-06 07:55:00,29388
2021-10-06 08:00:00,18770
2021-10-06 08:05:00,11812
2021-10-06 08:10:00,5795
2021-10-06 08:15:00,8918
2021-10-06 08:20:00,24553
2021-10-06 08:25:00,11579
2021-10-06 08:30:00,19862
2021-10-06 08:35:00,19147
2021-10-06 08:40:00,2136
2021-10-06 08:45:00,9219
2021-10-06 08:50:00,10954
2021-10-06 08:55:00,3837
2021-10-06 09:00:00,15461
2021-10-06 09:05:00,6354
2021-10-06 09:10:00,15092
2021-10-06 09:15:00,16266
2021-10-06 09:20:00,9450
2021-10-06 09:25:00,4992
2021-10-06 09:30:00,3647
2021-10-06 09:35:00,4867
2021-10-06 09:40:00,5819
2021-10-06 09:45:00,4270
2021-10-06 09:50:00,16958
2021-10-06 09:55:00,24426
2021-10-06 10:00:00,22172
2021-10-06 10:05:00,17472
2021-10-06 10:10:00,13434
2021-10-06 10:15:00,10742
2021-10-06 10:20:00,12456
2021-10-06 10:25:00,10792
2021-10-06 10:30:00,11297
2021-10-06 10:35:00,11205
2021-10-06 10:40:00,11198
2021-10-06 10:45:00,8480
2021-10-06 10:50:00,12222
2021-10-06 10:55:00,11457
2021-10-06 11:00:00,11419
2021-10-06 11:05:00,12306
2021-10-06 11:10:00,20781
2021-10-06 11:15:00,11446
2021-10-06 11:20:00,15518
2021-10-06 11:25:00,10708
2021-10-06 11:30:00,11045
2021-10-06 11:35:00,22913
2021-10-06 11:40:00,20737
2021-10-06 11:45:00,18183
2021-10-06 11:50:00,12846
2021-10-06 11:55:00,14865
2021-10-06 12:00:00,14545
2021-10-06 12:05:00,12345
