"Time","Ärentuna 3-phase_:_active_power [kW]"
2021-10-05 00:00:00,652
2021-10-05 00:05:00,2270
2021-10-05 00:10:00,1894
2021-10-05 00:15:00,3520
2021-10-05 00:20:00,3516
2021-10-05 00:25:00,4066
2021-10-05 00:30:00,4726
2021-10-05 00:35:00,4754
2021-10-05 00:40:00,3820
2021-10-05 00:45:00,1302
2021-10-05 00:50:00,1954
2021-10-05 00:55:00,504
2021-10-05 01:00:00,1374
2021-10-05 01:05:00,596
2021-10-05 01:10:00,606
2021-10-05 01:15:00,3642
2021-10-05 01:20:00,3616
2021-10-05 01:25:00,3292
2021-10-05 01:30:00,3902
2021-10-05 01:35:00,2956
2021-10-05 01:40:00,1382
2021-10-05 01:45:00,1244
2021-10-05 01:50:00,1472
2021-10-05 01:55:00,2074
2021-10-05 02:00:00,566
2021-10-05 02:05:00,496
2021-10-05 02:10:00,3378
2021-10-05 02:15:00,3528
2021-10-05 02:20:00,3856
2021-10-05 02:25:00,3592
2021-10-05 02:30:00,602
2021-10-05 02:35:00,1872
2021-10-05 02:40:00,608
2021-10-05 02:45:00,2610
2021-10-05 02:50:00,3024
2021-10-05 02:55:00,2452
2021-10-05 03:00:00,3336
2021-10-05 03:05:00,4070
2021-10-05 03:10:00,3450
2021-10-05 03:15:00,3164
2021-10-05 03:20:00,2902
2021-10-05 03:25:00,1206
2021-10-05 03:30:00,592
2021-10-05 03:35:00,4740
2021-10-05 03:40:00,4012
2021-10-05 03:45:00,2032
2021-10-05 03:50:00,2714
2021-10-05 03:55:00,1996
2021-10-05 04:00:00,3646
2021-10-05 04:05:00,4138
2021-10-05 04:10:00,3764
2021-10-05 04:15:00,4330
2021-10-05 04:20:00,4436
2021-10-05 04:25:00,3168
2021-10-05 04:30:00,2030
2021-10-05 04:35:00,1286
2021-10-05 04:40:00,1404
2021-10-05 04:45:00,2062
2021-10-05 04:50:00,708
2021-10-05 04:55:00,662
2021-10-05 05:00:00,3722
2021-10-05 05:05:00,3138
2021-10-05 05:10:00,3996
2021-10-05 05:15:00,2888
2021-10-05 05:20:00,938
2021-10-05 05:25:00,2562
2021-10-05 05:30:00,2806
2021-10-05 05:35:00,2264
2021-10-05 05:40:00,2704
2021-10-05 05:45:00,538
2021-10-05 05:50:00,3036
2021-10-05 05:55:00,2980
2021-10-05 06:00:00,2682
2021-10-05 06:05:00,3890
